rev_id	score.damaging.score.probability.true	score.goodfaith.score.probability.true
778068153	0.0341070039332118	0.9631482216073363
778323385	0.06079271012144102	0.9183819888507275
774264535	0.018699456923994003	0.9848181505213502
774896131	0.32644924496861927	0.5472383417030015
775918221	0.12748914158045266	0.8296519735326966
775977649	0.05609497811177157	0.8352973506092333
775539875	0.01176361409844698	0.9837210953518821
777263348	0.5899814608767912	0.5644538254856134
776059314	0.02054486212356617	0.9772033930188049
775820484	0.01146075979082106	0.9890030506972973
775308742	0.13522126753458721	0.9326015236363928
774974753	0.3435283440311202	0.8380007647031201
777884652	0.026852077928993648	0.9395998980465576
775567267	0.00589309697547522	0.9913015458709598
776015983	0.5942091664394699	0.33795939500676364
778354754	0.018197603564532143	0.9765440512217733
776825574	0.06661220871157153	0.8669924020959239
775628812	0.036828186652999924	0.8766466585165774
777171089	0.8726021767544571	0.05240624680682418
775277430	0.06004898497075464	0.9294896319020562
777740066	0.00506854499030947	0.9942802073545027
776088124	0.1306061190957424	0.8807343828641697
774452348	0.03896513066366747	0.8493995503824182
774886526	0.2340813837880345	0.5429185121543685
774758806	0.4643860583112858	0.5823995627407359
774750849	0.01512085542952711	0.9855965634984972
778361018	0.005792098129440808	0.9954981608234863
776290528	0.004902637673765757	0.9942283915892103
777446875	0.17126179116935714	0.8699621161376679
775911554	0.017189340615661457	0.9725144432354876
777482828	0.005198934156991548	0.986942697776732
777104296	0.01667661600586145	0.982703977355976
776334083	0.004905120920256084	0.9952576146823775
774228164	0.005951724054209117	0.9941992320526367
777792846	0.006437174520204165	0.9918777296597454
774827889	0.12654387891877128	0.8492813828690732
776464129	0.2281241506229259	0.657843489774916
775439359	0.28831640629949173	0.5709884302461367
773825573	0.1145858013090517	0.8506513836560716
775895870	0.7677974284605309	0.21860217814742075
777668055	0.029874500250190755	0.9779051501808581
776712517	0.0355446385187435	0.9116555310478472
773999678	0.005246452312225042	0.9916775704308343
774453569	0.015137900203979617	0.9847241110068403
776956084	0.006692012013054148	0.9900140336106101
775879017	0.037178737617062155	0.9721673495074156
775123795	0.01320628259010294	0.9812215271919225
774750144	0.7793673459524517	0.1844166551722298
777449827	0.5563406663510138	0.42052782008719175
778203880	0.010312436266727646	0.9888245342627382
777658472	0.03649181107683403	0.9202538050460638
777860057	0.19411841880275513	0.810606246528507
778042983	0.17256986497220111	0.5190351044785738
774477685	0.578201216584431	0.43837833382902075
774374201	0.023763909967376814	0.9758554605073302
776024213	0.16940352385353977	0.8664952800860601
775970948	0.019887777918101996	0.97649341330199
778170856	0.34770800879549935	0.8424797375527144
775759239	0.342082988152644	0.7009465875235452
777013736	0.011344459222273225	0.9831612359676519
778469665	0.010312436266727646	0.9888245342627382
777724836	0.005612817428507643	0.9927629600439843
773917448	0.013041193001800849	0.9843347165012425
776416953	0.005723278306714416	0.9955578333061724
776765135	0.019055839858033767	0.9739151299811215
778432293	0.18997936883116362	0.7482823119995959
776423127	0.01164250068402312	0.9810625617565207
774459781	0.2871919764941065	0.9249622856470345
777051297	0.03692313281090257	0.9369719233960837
777957399	0.007811899895530191	0.9917867029653433
776477498	0.017390093896401754	0.9764369540966168
775709698	0.011061994640455437	0.976959528520239
777422093	0.691665735835791	0.36772798161198744
777994460	0.02021010868284033	0.9749738552837364
776647344	0.37153168600749786	0.8209874156009981
775495259	0.008610235773284894	0.9916102988485739
777197075	0.011309048980829852	0.9813922746456714
774339610	0.046007603855876524	0.8318692302377954
776735317	0.05484822629268613	0.9225122290765279
775060017	0.007445739180148287	0.9892417038858157
775972502	0.014690428606783087	0.9783681465003323
